Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Corporate loan,Export Development Canada,Canada,North America,2018,10.5,Klabin,Pulp & paper,Klabin,Latin America
Corporate loan,Santander,Spain,EU27,2018,10.5,Klabin,Pulp & paper,Klabin,Latin America
Corporate loan,Sumitomo Mitsui Trust,Japan,East Asia,2018,10.5,Klabin,Pulp & paper,Klabin,Latin America
Corporate loan,ING Group,Netherlands,EU27,2019,10.5,COFCO,Timber,COFCO International,Central & West Africa
Corporate loan,Banco Bilbao Vizcaya Argentaria (BBVA),Spain,EU27,2019,10.5,COFCO,Timber,COFCO International,Central & West Africa
Corporate loan,Rabobank,Netherlands,EU27,2019,10.5,COFCO,Timber,COFCO International,Central & West Africa
Bond issuance,Bahana Group,Indonesia,Southeast Asia,2019,10.5,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Bond issuance,Bank Mandiri,Indonesia,Southeast Asia,2019,10.5,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Bond issuance,Bahana Group,Indonesia,Southeast Asia,2019,10.5,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Bond issuance,Bank Mandiri,Indonesia,Southeast Asia,2019,10.5,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,10.5,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Alagoas,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2015,10.5,Oji Group,Timber,Oji Holdings,Latin America
Shareholding,Dimensional Fund Advisors,United States,North America,2021,10.5,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Shareholding,Suisse Charter Investment,British Virgin Islands,Central America,2021,10.49,Kertas Basuki Rachmat Indonesia,Pulp & paper,Kertas Basuki Rachmat Indonesia,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2018,10.49,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Revolving credit facility,SMBC Group,Japan,East Asia,2018,10.49,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Revolving credit facility,Sumitomo Mitsui Trust,Japan,East Asia,2018,10.49,Sumitomo Forestry,Timber,Sumitomo Forestry ,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2016,10.48,Rajawali Group,Palm oil,Arrtu Plantation,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2014,10.47,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2014,10.47,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,HSBC,United Kingdom,Europe other,2014,10.46,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2016,10.46,Pengxin,Soy,Belagricola,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2016,10.46,Pengxin,Soy,Belagricola,Latin America
Bond issuance,ANZ,Australia,Oceania,2017,10.45,Sinochem Group,Rubber,Sinochem International,Southeast Asia
Bond issuance,Standard Chartered,United Kingdom,Europe other,2017,10.45,Sinochem Group,Rubber,Sinochem International,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,10.45,Brazil Agriculture Finance Program,Palm oil,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Shareholding,SPX,Brazil,South America,2021,10.43,JBS,Beef,JBS,Latin America
Corporate loan,Bank of America,United States,North America,2018,10.43,Klabin,Timber,Klabin,Latin America
Corporate loan,Export Development Canada,Canada,North America,2018,10.43,Klabin,Timber,Klabin,Latin America
Corporate loan,Santander,Spain,EU27,2018,10.43,Klabin,Timber,Klabin,Latin America
Corporate loan,Sumitomo Mitsui Trust,Japan,East Asia,2018,10.43,Klabin,Timber,Klabin,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2015,10.43,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Caixa Econômica Federal,Brazil,South America,2018,10.43,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Mizuho Financial,Japan,East Asia,2016,10.43,Salim Group,Rubber,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2016,10.43,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Government Pension Fund Global,Norway,Europe other,2021,10.42,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Shareholding,Vanguard,United States,North America,2021,10.42,POSCO,Palm oil,POSCO,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,10.41,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2018,10.41,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Bank of China,China,East Asia,2014,10.4,COFCO,Soy,COFCO Hong Kong,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2019,10.4,Brazil Agriculture Finance Program,Rubber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Public Bank,Malaysia,Southeast Asia,2016,10.4,NPC Resources Group,Palm oil,NPC Resources Group,Southeast Asia
Corporate loan,Public Bank,Malaysia,Southeast Asia,2016,10.4,NPC Resources Group,Palm oil,NPC Resources Group,Southeast Asia
Bond issuance,Agricultural Bank of China,China,East Asia,2016,10.39,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Bond issuance,CITIC,China,East Asia,2016,10.39,Sinochem Group,Rubber,Sinochem Group,Central & West Africa
Corporate loan,Bank of Iwate,Japan,East Asia,2014,10.39,Sumitomo Rubber Industries,Rubber,Sumitomo Rubber Industries,Southeast Asia
Revolving credit facility,HSBC,United Kingdom,Europe other,2013,10.38,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,ABN Amro,Netherlands,EU27,2018,10.37,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,First Abu Dhabi Bank,United Arab Emirates,Middle East,2018,10.37,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,Mitsubishi UFJ Financial,Japan,East Asia,2018,10.37,Royal Golden Eagle Group,Pulp & paper,Asia Pacific Resources International,Southeast Asia
Corporate loan,HSBC,United Kingdom,Europe other,2013,10.36,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Shareholding,Nomura,Japan,East Asia,2021,10.36,Itochu,Palm oil,Fuji Oil Holdings,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2019,10.35,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Corporate loan,CNH Industrial Capital,Netherlands,EU27,2019,10.34,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Share issuance,China International Capital Corporation,China,East Asia,2018,10.34,ZTE,Palm oil,ZTE,Southeast Asia
Share issuance,CSC Financial,China,East Asia,2018,10.34,ZTE,Palm oil,ZTE,Southeast Asia
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2013,10.33,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Sicredi,Brazil,South America,2019,10.32,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Shareholding,Capital Group,United States,North America,2021,10.31,Bunge,Palm oil,Bunge,Southeast Asia
Bond issuance,Asta Kapital Asia,Indonesia,Southeast Asia,2019,10.31,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara II,Southeast Asia
Corporate loan,Safra Group,Brazil,South America,2018,10.31,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Bradesco,Brazil,South America,2014,10.31,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2013,10.3,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,10.3,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Rio Grande do Norte,Latin America
Corporate loan,HSBC,United Kingdom,Europe other,2013,10.3,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Lazard,Bermuda,Central America,2021,10.28,Jardine Matheson Group,Palm oil,Astra International,Southeast Asia
Shareholding,Dimensional Fund Advisors,United States,North America,2021,10.28,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2014,10.27,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Citigroup,United States,North America,2019,10.27,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Shareholding,Government Pension Investment Fund (GPIF),Japan,East Asia,2021,10.26,Sinar Mas Group,Palm oil,Golden Agri-Resources,Southeast Asia
Corporate loan,Caixa Econômica Federal,Brazil,South America,2015,10.26,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Shareholding,Algemeen Burgerlijk Pensioenfonds (ABP),Netherlands,EU27,2021,10.24,Minerva,Beef,Minerva,Latin America
Corporate loan,Bangkok Bank,Thailand,Southeast Asia,2013,10.23,Provident Agro Group,Palm oil,Saban Sawit Subur,Southeast Asia
Revolving credit facility,Bank of America,United States,North America,2018,10.22,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Barclays,United Kingdom,Europe other,2018,10.22,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2018,10.22,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2017,10.21,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara XII,Southeast Asia
Corporate loan,Deutsche Bank,Germany,EU27,2015,10.21,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2013,10.2,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara VII,Southeast Asia
Shareholding,Value Partners Group,China,East Asia,2021,10.18,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Revolving credit facility,ABN Amro,Netherlands,EU27,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Agricultural Bank of China,China,East Asia,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,ANZ,Australia,Oceania,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Bank of America,United States,North America,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,China Construction Bank,China,East Asia,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,China Development Bank,China,East Asia,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Rabobank,Netherlands,EU27,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Crédit Agricole,France,EU27,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Industrial and Commercial Bank of China,China,East Asia,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,ING Group,Netherlands,EU27,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,BPCE Group,France,EU27,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2019,10.18,COFCO,Soy,COFCO,Latin America
Revolving credit facility,Westpac,Australia,Oceania,2019,10.18,COFCO,Soy,COFCO,Latin America
Shareholding,BlackRock,United States,North America,2021,10.18,POSCO,Palm oil,POSCO,Southeast Asia
Bond issuance,Bank of China,China,East Asia,2015,10.17,Sinar Mas Group,Pulp & paper,Gold Hongye Paper,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2015,10.17,Sinar Mas Group,Pulp & paper,Gold Hongye Paper,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,10.17,Brazil Agriculture Finance Program,Timber,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,BNP Paribas,France,EU27,2019,10.16,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Revolving credit facility,Bank of America,United States,North America,2018,10.16,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Barclays,United Kingdom,Europe other,2018,10.16,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Revolving credit facility,Citigroup,United States,North America,2018,10.16,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Shareholding,Mitsubishi UFJ Financial,Japan,East Asia,2021,10.15,Oji Group,Pulp & paper,Oji Holdings,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2014,10.14,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2014,10.14,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Commonwealth Bank of Australia,Australia,Oceania,2014,10.12,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Shareholding,Government Pension Investment Fund (GPIF),Japan,East Asia,2021,10.12,Itochu,Soy,Fuji Oil Holdings,Latin America
Corporate loan,Credit Suisse,Switzerland,Europe other,2015,10.12,Sampoerna Group,Rubber,Sampoerna Agro,Southeast Asia
Corporate loan,Hana Financial,South Korea,East Asia,2015,10.11,Sungai Budi Group,Palm oil,Tunas Baru Lampung,Southeast Asia
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2015,10.1,Bakrie Group,Palm oil,Domas Agrointi Perkasa,Southeast Asia
Corporate loan,BNDES,Brazil,South America,2015,10.1,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Shareholding,Standard Life Aberdeen,United Kingdom,Europe other,2021,10.08,Boon Siew Group,Palm oil,Oriental Holdings,Southeast Asia
Corporate loan,SMBC Group,Japan,East Asia,2019,10.06,Salim Group,Palm oil,Indofood Agri Resources,Southeast Asia
Corporate loan,Caixa Econômica Federal,Brazil,South America,2014,10.06,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Revolving credit facility,Bank Central Asia,Indonesia,Southeast Asia,2018,10.06,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Share issuance,BTG Pactual,Brazil,South America,2013,10.05,Terra Santa,Soy,Terra Santa Agro,Latin America
Revolving credit facility,Agricultural Bank of China,China,East Asia,2016,10.05,COFCO,Timber,COFCO Agri,Central & West Africa
Corporate loan,Itaú Unibanco,Brazil,South America,2013,10.05,Coop Central Aurora Alimentos,Beef,Coop Central Aurora Alimentos,Latin America
Corporate loan,Itaú Unibanco,Brazil,South America,2013,10.05,Coop Central Aurora Alimentos,Beef,Coop Central Aurora Alimentos,Latin America
Corporate loan,Santander,Spain,EU27,2019,10.05,Frisia Cooperativa Agroindustrial,Beef,Frisia Cooperativa Agroindustrial,Latin America
Corporate loan,HSBC,United Kingdom,Europe other,2013,10.05,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,ANZ,Australia,Oceania,2015,10.05,Sampoerna Group,Palm oil,Sampoerna Agro,Southeast Asia
Corporate loan,Santander,Spain,EU27,2015,10.03,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Revolving credit facility,DBS,Singapore,Southeast Asia,2015,10.02,Provident Agro Group,Palm oil,Mutiara Agam,Southeast Asia
Corporate loan,Rabobank,Netherlands,EU27,2019,10.01,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Shareholding,Kela,Finland,EU27,2021,10.01,Stora Enso,Pulp & paper,Stora Enso,Latin America
Corporate loan,ANZ,Australia,Oceania,2016,10.01,Sinochem Group,Rubber,Sinochem International,Central & West Africa
Corporate loan,Safra Group,Brazil,South America,2015,10.01,Randon Implementos E Participacoes,Pulp & paper,Randon Implementos E Participacoes,Latin America
Corporate loan,Bradesco,Brazil,South America,2015,10,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2016,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,United Overseas Bank,Singapore,Southeast Asia,2013,10,Innoprise Group,Palm oil,Serijaya Industri,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2018,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,Bank of East Asia,China,East Asia,2019,10,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2019,10,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Corporate loan,KDB Financial Group,South Korea,East Asia,2019,10,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2013,10,Rajawali Group,Palm oil,Green Eagle Holding,Southeast Asia
Revolving credit facility,Investment Corporation of Dubai,United Arab Emirates,Middle East,2013,10,Rajawali Group,Palm oil,Green Eagle Holding,Southeast Asia
Revolving credit facility,ANZ,Australia,Oceania,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Revolving credit facility,Bank Mandiri,Indonesia,Southeast Asia,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Revolving credit facility,DBS,Singapore,Southeast Asia,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Revolving credit facility,United Overseas Bank,Singapore,Southeast Asia,2017,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2014,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2015,10,Jardine Matheson Group,Palm oil,Astra Agro Lestari,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2016,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,CT Corpora,Indonesia,Southeast Asia,2018,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Hana Financial,South Korea,East Asia,2018,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Cathay Financial,Taiwan,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Ping An Insurance Group,China,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Taiwan Cooperative Financial,Taiwan,East Asia,2013,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Revolving credit facility,Taiwan Business Bank,Taiwan,East Asia,2015,10,Royal Golden Eagle Group,Pulp & paper,Heliosity Consulting,Southeast Asia
Revolving credit facility,DZ Bank,Germany,EU27,2015,10,Royal Golden Eagle Group,Pulp & paper,Heliosity Consulting,Southeast Asia
Revolving credit facility,Mega Financial,Taiwan,East Asia,2015,10,Royal Golden Eagle Group,Pulp & paper,Heliosity Consulting,Southeast Asia
Corporate loan,China Construction Bank,China,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Fubon Financial,Taiwan,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Taiwan Business Bank,Taiwan,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Hua Nan Financial,Taiwan,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Fubon Financial,Taiwan,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,Taiwan Business Bank,Taiwan,East Asia,2017,10,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,CIMB Group,Malaysia,Southeast Asia,2019,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Hana Financial,South Korea,East Asia,2019,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2019,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2019,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2019,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Central Asia,Indonesia,Southeast Asia,2019,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Industrial and Commercial Bank of China,China,East Asia,2014,10,Sinar Mas Group,Pulp & paper,Lontar Papyrus Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2017,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2016,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2016,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2016,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2014,10,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2020,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2019,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2018,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2017,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2016,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2018,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2017,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2016,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2015,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2014,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Pan Indonesia,Indonesia,Southeast Asia,2013,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2018,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2017,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2016,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2015,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank of China,China,East Asia,2014,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Central Asia,Indonesia,Southeast Asia,2017,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Bank Central Asia,Indonesia,Southeast Asia,2018,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2015,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2014,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2014,10,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Bank of East Asia,China,East Asia,2019,10,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2019,10,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,KDB Financial Group,South Korea,East Asia,2019,10,Perkebunan Nusantara Group,Rubber,Perkebunan Nusantara III,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2015,10,Tirta Mahakam Resources,Timber,Tirta Mahakam Resources,Southeast Asia
Corporate loan,DBS,Singapore,Southeast Asia,2013,10,Tirta Mahakam Resources,Timber,Tirta Mahakam Resources,Southeast Asia
